key_title,key_rdate,key_cont
[오늘의 환율전망] FOMC 앞두고 관망세… 1282.71원 보합 출발 예상,2023.06.13 07:51,"    다음주 미국 연방공개시장위원회(FOMC) 정례의회와 유로존, 일본 중앙은행의 금리 결정이 예정된 가운데 원/달러 환율이 보합권 내에서 등락을 보일 전망이다. 키움증권은 13일 차액결제선물환(NDF) 1개월물이 1282.71원으로 보합 출발할 것으
                |  머니S 이지운 기자   
2023.06.13 07:51
"
"삼화페인트공업, 친환경 수성 바이오 베이스 도료 특허 취득",2023.06.12 15:48,"삼화페인트공업은 친환경 수성 바이오 베이스 도료 관련 특허권을 취득했다고 12일 공시했다.회사 측은 ""본 발명으로 개발된 건축 내부용 도료는 바이오 베이스 도료로 친환경적이면서도 석유화합물을 이용한 도료에 비해 오염물 제거가 쉽고 항균, 항곰
                |  머니S 송은정 기자   
2023.06.12 15:48
"
"GS25, 도시락·삼각김밥 한번에… 포켓주먹밥세트 첫 선",2023.06.12 09:37,"     GS리테일이 운영하는 편의점 GS25가 도시락과 김밥 사이 새로운 프레시푸드 카테고리 개발에 나섰다.GS25는 데이터 분석과 심미적 요소를 고려한 신상품 포켓주먹밥세트를 오는 13일부터 선보인다고 12일 밝혔다.  포켓주먹밥세트는 ▲주먹밥
                |  머니S 조승예 기자   
2023.06.12 09:37
"
"NHN커머스, 600억원 규모 제3자배정 유상증자 결정",2023.06.09 18:00,"NHN은 인터넷 쇼핑몰 자회사 NHN커머스가 총 600억원 규모의 제3자배정 유상증자를 결정했다고 9일 공시했다...
                |  머니S 송은정 기자   
2023.06.09 18:00
"
"롯데관광개발, 루프트한자 항공사와 컴팬세이드 패키지 출시",2023.06.09 10:58,"     롯데관광개발이 지속 가능한 여행 문화 조성을 위해 루프트한자와 손을 잡았다.  롯데관광개발은 루프트한자 그룹 항공사와 함께하는 컴팬세이드(Compensaid) 패키지를 출시했다고 9일 밝혔다.루프트한자 그룹이 2021년 도입한 컴팬세이드
                |  머니S 조승예 기자   
2023.06.09 10:58
"
"네이버, 계열사 네이버랩스에 700억원 출자",2023.06.08 17:24,"네이버는 계열사 네이버랩스에 700억원을 추가 출자한다고 8일 공시했다.회사 측은 출자 목적에 대해 ""연구개발(R&D) 투자""라고 설명했다.- 정확한 출자 목적은.▶ 로봇, 자율주행, 디지털 트윈과 관련한 R&D 투자 재원 확보를 위함이다...
                |  머니S 송은정 기자   
2023.06.08 17:24
"
"동일철강, 관계사 수소 기업 인수에 강세… 철강 기자재 납품 가능↑",2023.06.08 11:37,"    관계회사인 화인베스틸의 수소 관련 기업 인수로 동일철강의 주가가 상승세다.8일 오전 11시11분 현재 동일철강은 전 거래일 대비 115원(5.41%) 오른 2240원에 거래되고 있다. 같은 날 오전 9시12분엔 2555원까지 오르기도 했다.동일철강의 주가 상승
                |  머니S 최유빈 기자   
2023.06.08 11:37
"
마녀공장 코스닥 데뷔… IPO 흥행몰이로 '따상' 노린다,2023.06.08 05:04,"    자연주의 화장품 기업 마녀공장이 코스닥 시장에 입성한다. 8일 한국거래소에 따르면 마녀공장의 코스닥 매매는 이날부터 개시된다. 시초가는 오전 8시30분~9시에 공모가(1만6000원)의 90~200% 사이에서 호가를 접수해 매도호가와 매수호가가 합치되
                |  머니S 이지운 기자   
2023.06.08 05:04
"
"만호제강, 190억원 규모 자기주식 처분 결정",2023.06.07 13:26,"만호제강은 근로자의 자산증식과 복리후생의 목적으로 보통주 28만9000주를 처분하기로 결정했다고 7일 공시했다.처분 예정 금액은 190억1620만원이다. 처분 예정기간은 이날부터 오는 16일까지다...
                |  머니S 송은정 기자   
2023.06.07 13:26
"
"파크시스템스, 641억원 규모 신규시설 투자",2023.06.07 08:54,"파크시스템스는 신규 사옥 건축을 위해 641억원 규모의 신규 시설 투자를 결정했다고 지난 5일 공시했다.투자 금액은 자기자본 대비 54%에 해당한다. 투자 기간은 2023년 7월19일부터 2026년 2월19일까지다.회사 측은 투자 목적에 대해 ""사옥 신축을 통한
                |  머니S 송은정 기자   
2023.06.07 08:54
"
"유기농 옷·천연고무 신발… 신세계百, '그린 바캉스 페어' 눈길",2023.06.04 06:00,"     신세계백화점이 환경의 날(6월5일)을 맞아 가치소비 트렌드에 맞는 지속 가능한 패션·친환경 바캉스 아이템을 제안한다.  신세계백화점은 오는 22일까지 ""배러 초이스 배러 퓨처""(Better Choice Better Future)라는 주제로
                |  머니S 조승예 기자   
2023.06.04 06:00
"
"휴럼, 네이처가든 주식 59억원어치 취득",2023.06.02 13:27,"휴럼은 사업 시너지 확대를 위해 네이처가든의 주식 1만6000주를 59억원에 취득하기로 결정했다고 2일 공시했다. 계약 금액은 자기자본 대비 16.32%에 해당하는 규모다. 주식 취득 후 휴럼의 네이처가든 지분율은 100%가 된다. 주식 취득 예정일은 2023년
                |  머니S 송은정 기자   
2023.06.02 13:27
"
"롯데관광개발, 충남 최초 크루즈 운항 나선다… 서산시와 MOU",2023.06.02 08:41,"    롯데관광개발이 서산시와 함께 충남 최초의 크루즈 운항에 나선다.롯데관광개발은 지난 1일 오후 2시 서울 양천구 롯데관광개발 서울지점에서 충청남도 서산시와 업무협약(MOU)을 체결했다. 롯데관광개발은 오는 2024년 5~10월 중 크루즈 전세선 
                |  머니S 조승예 기자   
2023.06.02 08:41
"
"하이록코리아, 3년 동안 300억원 규모 자사주 취득",2023.06.01 14:30,"하이록코리아는 주주가치 제고를 위해 3년 동안 별도 기준 당기순이익의 30% 이상을 배당하고 총 300억원 규모의 자기주식을 취득할 예정이라고 1일 공시했다...
                |  머니S 송은정 기자   
2023.06.01 14:30
"
"휴젤, 태국 봉합사 시장 진출… 리셀비 론칭",2023.06.01 08:47,"     휴젤이 폴리다이옥사논(PDO) 봉합사 브랜드 리셀비(국내 제품명 블루로즈 포르테)를 태국에서 론칭했다.1일 휴젤에 따르면 리셀비는 의료용 봉합사 제조 기업 제이월드가 생산하는 PDO 성분의 봉합사 브랜드다. 비열처리 가공 방식을 채택해 
                |  머니S 지용준 기자   
2023.06.01 08:47
"
